2023-10-11 00:06:04.203 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696953964202xdv  [0;39m -------开始-------
2023-10-11 09:25:52.240 INFO  com.zaxxer.hikari.HikariDataSource                :123  [32m1696987551583t2p  [0;39m HikariPool-1 - Start completed.
2023-10-11 09:25:52.248 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987551583t2p  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 09:25:52.278 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987551583t2p  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 09:25:52.318 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987551583t2p  [0;39m <==      Total: 1
2023-10-11 09:25:52.410 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1696987551583t2p  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc1NTIsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwMzUyLCJpYXQiOjE2OTY5ODc1NTJ9.zzKCiCXaXEh5BjmT7zOgQrwEDT7op03d9Bqv7C6E8Rw
2023-10-11 09:25:52.421 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1696987551583t2p  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc1NTIsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwMzUyLCJpYXQiOjE2OTY5ODc1NTJ9.zzKCiCXaXEh5BjmT7zOgQrwEDT7op03d9Bqv7C6E8Rw","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 09:25:52.421 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1696987551583t2p  [0;39m -------------结束耗时：716ms -----
2023-10-11 09:26:56.419 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696987616417akv  [0;39m -------开始-------
2023-10-11 09:26:56.420 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1696987616417akv  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 09:26:56.421 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1696987616417akv  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 09:26:56.422 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1696987616417akv  [0;39m 远程地址：127.0.0.1
2023-10-11 09:26:56.422 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1696987616417akv  [0;39m 请求参数：[{}]
2023-10-11 09:26:56.425 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987616417akv  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 09:26:56.428 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987616417akv  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 09:26:56.432 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987616417akv  [0;39m <==      Total: 1
2023-10-11 09:26:56.434 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1696987616417akv  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc2MTYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNDE2LCJpYXQiOjE2OTY5ODc2MTZ9.EcL0dKnoqi60SQ9FSgZxB0W2RJk6jjnx5ed3sK1Z0Ok
2023-10-11 09:26:56.435 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1696987616417akv  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc2MTYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNDE2LCJpYXQiOjE2OTY5ODc2MTZ9.EcL0dKnoqi60SQ9FSgZxB0W2RJk6jjnx5ed3sK1Z0Ok","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 09:26:56.435 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1696987616417akv  [0;39m -------------结束耗时：16ms -----
2023-10-11 09:28:36.117 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696987716116yn2  [0;39m -------开始-------
2023-10-11 09:28:36.117 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1696987716116yn2  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 09:28:36.118 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1696987716116yn2  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 09:28:36.118 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1696987716116yn2  [0;39m 远程地址：127.0.0.1
2023-10-11 09:28:36.118 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1696987716116yn2  [0;39m 请求参数：[{}]
2023-10-11 09:28:36.120 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987716116yn2  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 09:28:36.121 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987716116yn2  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 09:28:36.123 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987716116yn2  [0;39m <==      Total: 1
2023-10-11 09:28:36.125 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1696987716116yn2  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc3MTYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNTE2LCJpYXQiOjE2OTY5ODc3MTZ9.tk33if8IS-ev3WB5o_gupqnrAJrq5Us3oZSiUN4U4_o
2023-10-11 09:28:36.126 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1696987716116yn2  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc3MTYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNTE2LCJpYXQiOjE2OTY5ODc3MTZ9.tk33if8IS-ev3WB5o_gupqnrAJrq5Us3oZSiUN4U4_o","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 09:28:36.126 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1696987716116yn2  [0;39m -------------结束耗时：9ms -----
2023-10-11 09:30:19.234 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696987819233l02  [0;39m -------开始-------
2023-10-11 09:30:19.235 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1696987819233l02  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 09:30:19.235 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1696987819233l02  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 09:30:19.235 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1696987819233l02  [0;39m 远程地址：127.0.0.1
2023-10-11 09:30:19.235 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1696987819233l02  [0;39m 请求参数：[{}]
2023-10-11 09:30:19.237 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987819233l02  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 09:30:19.238 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987819233l02  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 09:30:19.241 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987819233l02  [0;39m <==      Total: 1
2023-10-11 09:30:19.242 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1696987819233l02  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc4MTksInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNjE5LCJpYXQiOjE2OTY5ODc4MTl9.x4s1zozE_MCjVa0YDBe5wcgAFoXdjMd2WCKez6MkThA
2023-10-11 09:30:19.242 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1696987819233l02  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc4MTksInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNjE5LCJpYXQiOjE2OTY5ODc4MTl9.x4s1zozE_MCjVa0YDBe5wcgAFoXdjMd2WCKez6MkThA","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 09:30:19.242 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1696987819233l02  [0;39m -------------结束耗时：8ms -----
2023-10-11 09:31:55.935 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696987915933m8p  [0;39m -------开始-------
2023-10-11 09:31:55.935 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1696987915933m8p  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 09:31:55.936 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1696987915933m8p  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 09:31:55.936 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1696987915933m8p  [0;39m 远程地址：127.0.0.1
2023-10-11 09:31:55.937 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1696987915933m8p  [0;39m 请求参数：[{}]
2023-10-11 09:31:55.939 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987915933m8p  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 09:31:55.940 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987915933m8p  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 09:31:55.942 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696987915933m8p  [0;39m <==      Total: 1
2023-10-11 09:31:55.943 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1696987915933m8p  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc5MTUsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNzE1LCJpYXQiOjE2OTY5ODc5MTV9.kylyXBzSd2tIUtz5v20ARGVF1VEHAyQeSFTJoojqdWo
2023-10-11 09:31:55.944 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1696987915933m8p  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODc5MTUsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYwNzE1LCJpYXQiOjE2OTY5ODc5MTV9.kylyXBzSd2tIUtz5v20ARGVF1VEHAyQeSFTJoojqdWo","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 09:31:55.944 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1696987915933m8p  [0;39m -------------结束耗时：10ms -----
2023-10-11 09:37:27.311 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696988247310x0c  [0;39m -------开始-------
2023-10-11 09:37:27.313 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1696988247310x0c  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 09:37:27.313 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1696988247310x0c  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 09:37:27.313 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1696988247310x0c  [0;39m 远程地址：127.0.0.1
2023-10-11 09:37:27.313 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1696988247310x0c  [0;39m 请求参数：[{}]
2023-10-11 09:37:27.317 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696988247310x0c  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 09:37:27.318 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696988247310x0c  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 09:37:27.320 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696988247310x0c  [0;39m <==      Total: 1
2023-10-11 09:37:27.321 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1696988247310x0c  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODgyNDcsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYxMDQ3LCJpYXQiOjE2OTY5ODgyNDd9.DMmhmmlHeS1IZS0xwUkIRcdqG9BRK4xrRMGBLg8TaxA
2023-10-11 09:37:27.321 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1696988247310x0c  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODgyNDcsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYxMDQ3LCJpYXQiOjE2OTY5ODgyNDd9.DMmhmmlHeS1IZS0xwUkIRcdqG9BRK4xrRMGBLg8TaxA","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 09:37:27.322 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1696988247310x0c  [0;39m -------------结束耗时：11ms -----
2023-10-11 09:38:56.458 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m16969883364563lh  [0;39m -------开始-------
2023-10-11 09:38:56.459 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m16969883364563lh  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 09:38:56.460 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m16969883364563lh  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 09:38:56.460 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m16969883364563lh  [0;39m 远程地址：127.0.0.1
2023-10-11 09:38:56.460 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m16969883364563lh  [0;39m 请求参数：[{}]
2023-10-11 09:38:56.463 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16969883364563lh  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 09:38:56.463 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16969883364563lh  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 09:38:56.466 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16969883364563lh  [0;39m <==      Total: 1
2023-10-11 09:38:56.467 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m16969883364563lh  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODgzMzYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYxMTM2LCJpYXQiOjE2OTY5ODgzMzZ9.0oJP1ZmcCJABS0JJtcgWOvc6-Ws9MlsBA2x6Tq9S8R0
2023-10-11 09:38:56.468 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m16969883364563lh  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5ODgzMzYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTYxMTM2LCJpYXQiOjE2OTY5ODgzMzZ9.0oJP1ZmcCJABS0JJtcgWOvc6-Ws9MlsBA2x6Tq9S8R0","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 09:38:56.468 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m16969883364563lh  [0;39m -------------结束耗时：10ms -----
2023-10-11 11:45:16.939 WARN  com.zaxxer.hikari.pool.HikariPool                 :804  [32m                  [0;39m HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h2m24s421ms650µs800ns).
2023-10-11 12:04:16.269 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1696997056258f7c  [0;39m -------开始-------
2023-10-11 12:04:16.272 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1696997056258f7c  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 12:04:16.272 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1696997056258f7c  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 12:04:16.273 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1696997056258f7c  [0;39m 远程地址：127.0.0.1
2023-10-11 12:04:16.274 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1696997056258f7c  [0;39m 请求参数：[{}]
2023-10-11 12:04:16.287 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696997056258f7c  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 12:04:16.291 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696997056258f7c  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 12:04:16.298 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1696997056258f7c  [0;39m <==      Total: 1
2023-10-11 12:04:16.303 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1696997056258f7c  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5OTcwNTYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTY5ODU2LCJpYXQiOjE2OTY5OTcwNTZ9.yeM0e39hwQ4uQzu8bcjtH5rKcINrGSYc14kVYqjki1w
2023-10-11 12:04:16.303 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1696997056258f7c  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTY5OTcwNTYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTY5ODU2LCJpYXQiOjE2OTY5OTcwNTZ9.yeM0e39hwQ4uQzu8bcjtH5rKcINrGSYc14kVYqjki1w","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 12:04:16.304 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1696997056258f7c  [0;39m -------------结束耗时：35ms -----
2023-10-11 13:11:06.043 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697001066032wjo  [0;39m -------开始-------
2023-10-11 13:11:06.048 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697001066032wjo  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 13:11:06.048 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697001066032wjo  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 13:11:06.048 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697001066032wjo  [0;39m 远程地址：127.0.0.1
2023-10-11 13:11:06.050 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697001066032wjo  [0;39m 请求参数：[{}]
2023-10-11 13:11:06.060 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697001066032wjo  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:11:06.062 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697001066032wjo  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 13:11:06.068 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697001066032wjo  [0;39m <==      Total: 1
2023-10-11 13:11:06.070 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1697001066032wjo  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDEwNjYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTczODY2LCJpYXQiOjE2OTcwMDEwNjZ9.MBu-OgvIFUEpemzlq5zr2f1KetosJeAqFjci5EBAhEY
2023-10-11 13:11:06.071 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697001066032wjo  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDEwNjYsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTczODY2LCJpYXQiOjE2OTcwMDEwNjZ9.MBu-OgvIFUEpemzlq5zr2f1KetosJeAqFjci5EBAhEY","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 13:11:06.071 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697001066032wjo  [0;39m -------------结束耗时：28ms -----
2023-10-11 13:15:57.899 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m1697001357897kbe  [0;39m -------开始-------
2023-10-11 13:15:57.899 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m1697001357897kbe  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 13:15:57.900 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m1697001357897kbe  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 13:15:57.900 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m1697001357897kbe  [0;39m 远程地址：127.0.0.1
2023-10-11 13:15:57.900 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m1697001357897kbe  [0;39m 请求参数：[{}]
2023-10-11 13:15:57.901 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697001357897kbe  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:15:57.902 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697001357897kbe  [0;39m ==> Parameters: 13951905171(String)
2023-10-11 13:15:57.903 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m1697001357897kbe  [0;39m <==      Total: 1
2023-10-11 13:15:57.904 INFO  top.lxyi.share.common.util.JwtUtil                :41   [32m1697001357897kbe  [0;39m 生成 JWT token：eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDEzNTcsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc0MTU3LCJpYXQiOjE2OTcwMDEzNTd9.EsEAcQBRHGPfN6CWCW5boN6epDQLaM12N62LhnOlr48
2023-10-11 13:15:57.904 INFO  top.lxyi.share.common.aspect.LogAspect            :82   [32m1697001357897kbe  [0;39m 返回结果：{"data":{"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJuYmYiOjE2OTcwMDEzNTcsInBob25lIjoiMTM5NTE5MDUxNzEiLCJpZCI6MSwiZXhwIjoxNjk3MTc0MTU3LCJpYXQiOjE2OTcwMDEzNTd9.EsEAcQBRHGPfN6CWCW5boN6epDQLaM12N62LhnOlr48","user":{"avatarUrl":"https://i2.100024.xyz/2023/01/26/3e727b.webp","bonus":620,"createTime":1694838230000,"id":1,"nickname":"mqxu","roles":"admin","updateTime":1694852630000}},"success":true}
2023-10-11 13:15:57.905 INFO  top.lxyi.share.common.aspect.LogAspect            :83   [32m1697001357897kbe  [0;39m -------------结束耗时：6ms -----
2023-10-11 13:32:39.639 INFO  top.lxyi.share.common.aspect.LogAspect            :48   [32m16970023596388q4  [0;39m -------开始-------
2023-10-11 13:32:39.640 INFO  top.lxyi.share.common.aspect.LogAspect            :49   [32m16970023596388q4  [0;39m 请求地址：http://127.0.0.1:8001/user-service/user/loginPOST
2023-10-11 13:32:39.640 INFO  top.lxyi.share.common.aspect.LogAspect            :50   [32m16970023596388q4  [0;39m 类名方法：top.lxyi.share.user.controller.UserController.login
2023-10-11 13:32:39.640 INFO  top.lxyi.share.common.aspect.LogAspect            :51   [32m16970023596388q4  [0;39m 远程地址：127.0.0.1
2023-10-11 13:32:39.640 INFO  top.lxyi.share.common.aspect.LogAspect            :71   [32m16970023596388q4  [0;39m 请求参数：[{}]
2023-10-11 13:32:39.642 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970023596388q4  [0;39m ==>  Preparing: SELECT id,phone,password,nickname,roles,avatar_url,bonus,create_time,update_time FROM user WHERE (phone = ?)
2023-10-11 13:32:39.643 DEBUG top.lxyi.share.user.mapper.UserMapper.selectList  :135  [32m16970023596388q4  [0;39m ==> Parameters: 13951905171(String)
